text,true_label,predicted_label,prob_real,prob_fake,source_dataset,length_bin
joe garcia raised utility rates on families.,1,0,0.6563712159333597,0.3436287840666404,liar,0-50
were the worst state in the country at moving people from welfare to work.,1,0,0.665876001040524,0.334123998959476,liar,50-100
we are experiencing the worst economic recovery america has ever had.,1,0,0.563566320789141,0.4364336792108589,liar,50-100
"small businesses that have $250,000 in gross sales for the business. theyre the ones that are looking at massive tax increases.",1,0,0.5002484973995747,0.4997515026004253,liar,100-200
gov. mcdonnells proposed budget is cutting public education.,1,0,0.523087059454918,0.4769129405450821,liar,50-100
"says that in 2007, oregon ranked 25th -- or 7th from the bottom -- in percentage of children with untreated decay compared to 32 other states with similar data.",1,0,0.6914808903512661,0.3085191096487339,liar,100-200
"at a minimum, 40 percent of those who view child pornography end up molesting children as a result.",1,0,0.6639743863836649,0.336025613616335,liar,50-100
"because gov. chris christie vetoed a 30-bill job creation package, new jersey ranks 50th in the nation in job creation.",1,0,0.7488992139793923,0.2511007860206077,liar,100-200
every republican senate candidate has now announced whether or not they support the senate taking up the supreme court vacancyexcept for congressman heck.,1,0,0.5376104594248148,0.4623895405751853,liar,100-200
i never considered myself a maverick.,1,0,0.5912316874637185,0.4087683125362815,liar,0-50
"toledo is fourth in the nation behind much bigger cities miami, las vegas, portland in number of human trafficking arrests and rescues.",1,0,0.5390169290161562,0.4609830709838438,liar,100-200
says her representation of an ex-boyfriend who was then my friend in a family law case is something that lawyers do on a regular basis.,1,0,0.5298143714968073,0.4701856285031927,liar,100-200
clackamas county commissioners approved a re-negotiated agreement to lower the countys contribution to trimets portland-milwaukie light rail project to $19.9 million from $25 million.,1,0,0.5942011840733629,0.4057988159266371,liar,100-200
the 2010 dream act failed despite strong bipartisan support.,1,0,0.7284992429808725,0.2715007570191274,liar,50-100
obamacare will drive 2.5 million americans out of the workforce.,1,0,0.6041676162572776,0.3958323837427224,liar,50-100
"everyone on californias roads is properly licensed, tested and insured.",1,0,0.6359384217715113,0.3640615782284887,liar,50-100
